
BOM de la parte electrónica del Ogaki. 

Hemos referenciado los componentes en farnell porque es un sitio sencillo donde encontrarlos,
se pueden encontrar en multitud de sitios.                             
                                     
                             
Componentes          Cantidad/Robot	   Código Farnell   	     
                                     
Botón                       5                 MCDTS2-4N
Tapa Negra                  1                  KTSC-22K
Tapa Blanca                 1                  KTSC-22I
Tapa Azul                   1                  KTSC-22B
Tapa Amarilla               1                  KTSC-22Y
Tapa Naranja                1                  KTSC-22S
Condensador 100nF           1                   2395773
Condensador 10uF            2                   9708200
Diodo Schottky              1                   9843787 
Polifusible                 1                   1175864
Driver ULN2803A             1                   1094428
LED Rojo                    1                   2112100
LED Azul                    1                   1863182
LED Verde                   1                   1863181
LED Amarillo                1                   2322128
Array 10KOhm                5                   2663503
Array 1KOhm                 2                   9318380
Resistencia 10KOhm          1                   9339060
Resistencia 18KOhm          1                   9339256
Interruptor ON/OFF          1                   2435325
Conector 2x8                1                   1593445
Conector 2x4                1                   1593489
Tira de pines macho         1                   1772865
Tira de pines hembra        1                   1593472
Tira de pines 1x4 90º       2                   1668345
Clema de alimentación       1                   1716993
Zócalo 2x9                  1                   2445623
Conector de motores         2                   1516281
Buzzer                      1                   1502716
Regulador 3.3: LMV111       1                   1469056
