Reference, Value, Footprint, Datasheet
"SV1","CONN_02X08","Pin_Headers:Pin_Header_Straight_2x08_Pitch2.54mm",""
"R7.1","10K","Resistors_SMD:R_0603_HandSoldering",""
"R1.1","10K","Resistors_SMD:R_0603_HandSoldering",""
"R3.1","10K","Resistors_SMD:R_0603_HandSoldering",""
"R4.1","10K","Resistors_SMD:R_0603_HandSoldering",""
"R5.1","10K","Resistors_SMD:R_0603_HandSoldering",""
"R2.2","10K","Resistors_SMD:R_0603_HandSoldering",""
"S1","switch","Switch:Button",""
"S2","switch","Switch:Button",""
"S5","switch","Switch:Button",""
"S4","switch","Switch:Button",""
"S5.1","switch","Buttons_Switches_ThroughHole:SW_PUSH_6mm",""
"S4.1","switch","Buttons_Switches_ThroughHole:SW_PUSH_6mm",""
"S2.1","switch","Buttons_Switches_ThroughHole:SW_PUSH_6mm",""
"S3.1","switch","Buttons_Switches_ThroughHole:SW_PUSH_6mm",""
"S1.1","switch","Buttons_Switches_ThroughHole:SW_PUSH_6mm",""
"S3","switch","Switch:Button",""
"R6.1","1K","Resistors_SMD:R_0603_HandSoldering",""
"R8.1","1K","Resistors_SMD:R_0603_HandSoldering",""
"R9.1","1K","Resistors_SMD:R_0603_HandSoldering",""
"R10.1","100R","Resistors_SMD:R_0603_HandSoldering",""
"LED1.1","L","LEDs:LED_0603",""
"LED1","L","LEDs:LED_D3.0mm",""
"LED2.1","L","LEDs:LED_0603",""
"LED2","L","LEDs:LED_D3.0mm",""
"LED3.1","L","LEDs:LED_0603",""
"LED3","L","LEDs:LED_D3.0mm",""
"LED4.1","L","LEDs:LED_0603",""
"LED4","L","LEDs:LED_D3.0mm",""
"SJ2","JUMPER","Connect:GS2",""
"JP1","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"Z1","buzzer","Buzzers_Beepers:MagneticBuzzer_StarMicronics_HMB-06_HMB-12",""
"U1","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"U4","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"U5","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"U3","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"R12.1","10K","Resistors_SMD:R_0603_HandSoldering",""
"R12","10K","Resistors_ThroughHole:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"R13.1","18K","Resistors_SMD:R_0603_HandSoldering",""
"R13","18K","Resistors_ThroughHole:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"IC1","ULN2803","Housings_DIP:DIP-18_W7.62mm_Socket",""
"C2","100nF","Capacitors_ThroughHole:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C2.1","100nF","Capacitors_SMD:C_0603_HandSoldering",""
"X1","Screw_Terminal_1x02","Connect:bornier2",""
"JP2","CONN_01X02","Pin_Headers:Pin_Header_Angled_1x02_Pitch2.54mm",""
"F1.1","FUSE","Resistors_SMD:R_1206_HandSoldering",""
"F1","FUSE","Fuse_Holders_and_Fuses:Fuse_TE5_Littlefuse-395Series",""
"D1.1","ZENER","Diodes_SMD:D_0603",""
"D1","ZENER","Diodes_ThroughHole:D_DO-41_SOD81_P10.16mm_Horizontal",""
"C1","100nF","Capacitors_ThroughHole:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C1.1","100nF","Capacitors_SMD:C_0603_HandSoldering",""
"U2","ESP01","escornabot:ESP01",""
"XH4","CONN_01X05","user_molex:B5B-XH-A",""
"XH3","CONN_01X05","user_molex:B5B-XH-A",""
"R3","10K","Resistors_ThroughHole:R_Array_SIP4",""
"R1","10K","Resistors_ThroughHole:R_Array_SIP4",""
"R2","10K","Resistors_ThroughHole:R_Array_SIP4",""
"R4","1K","Resistors_ThroughHole:R_Array_SIP4",""
"R5","1K","Resistors_ThroughHole:R_Array_SIP4",""
"R6","10K","Resistors_ThroughHole:R_Array_SIP4",""
"S7","switch","ComponentesVarios:on_off_Switch",""
"SV2","CONN_01X17","Pin_Headers:Pin_Header_Straight_1x17_Pitch2.54mm",""
"SV3","CONN_01X17","Pin_Headers:Pin_Header_Straight_1x17_Pitch2.54mm",""
"U6","LM1117-SOT","TO_SOT_Packages_THT:TO-220_Vertical",""
"C4","10uF","Capacitors_ThroughHole:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C3","10uF","Capacitors_ThroughHole:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C3.1","10uF","Capacitors_SMD:C_0603_HandSoldering",""
"C4.1","10uF","Capacitors_SMD:C_0603_HandSoldering",""
"SJ1","GS3","Connect:GS3",""
"SV4","CONN_01X09","Pin_Headers:Pin_Header_Straight_1x09_Pitch2.54mm",""
"SV6","CONN_01X09","Pin_Headers:Pin_Header_Straight_1x09_Pitch2.54mm",""
"R14","10K","Resistors_ThroughHole:R_Array_SIP4",""
"R14A.1","10K","Resistors_SMD:R_0603_HandSoldering",""
"R14B.1","10K","Resistors_SMD:R_0603_HandSoldering",""
